id;bundle_id;bundle_name;quote_template_id;is_compatible;recurring_amount;single_amount;usage_amount;total_amount;created_at;created_by;quantity
1;Antillian infomediaries;generating optical;62141;true;55464;70065;36439;26628;2023-02-19T11:55:14;architectures Jamaica contingency;19970
2;Tactics;hacking revolutionize plum;50700;false;35427;92370;76987;4805;2023-02-20T07:24:05;Awesome systems Soft;4690
3;Mauritania zero;AGP Fresh;85061;true;97440;20062;355;30490;2023-02-20T01:09:49;EXE Buckinghamshire;14677
4;Engineer pixel;Home National;51627;false;11835;32608;47791;60421;2023-02-20T05:07:51;Rial Gorgeous Shoes;31008
5;JBOD Turnpike Home;Generic;91033;false;2401;17199;67170;90448;2023-02-19T15:12:55;system bypass invoice;2495
6;bypassing;Cambridgeshire Harbor Borders;600;false;85373;41185;16151;52851;2023-02-20T05:36:38;Bedfordshire Cheese;96249
7;Chair;uniform Gorgeous;92021;true;74865;40651;77871;51092;2023-02-20T02:59:01;copying Shirt Cotton;89964
8;Sausages Concrete;Washington;65080;true;84447;62209;50688;14517;2023-02-19T12:51:53;e-services Distributed Norwegian;32263
9;deploy Borders;drive Delaware;57735;true;85714;90468;32793;96552;2023-02-20T03:22:17;red;18945
10;Poland;Configuration;91251;false;11771;47856;36736;54455;2023-02-19T18:20:57;Granite systemic;95222
